job_name,dataset,config,shuffle,memory,cores,aqe,execution_time_sec,timestamp
join,txn_5m.csv,Default,200,1g,2,false,26.386,2026-03-14 13:50:02
join,txn_5m.csv,AQE_ON,200,1g,2,true,14.353,2026-03-14 13:50:34
join,txn_5m.csv,ML_OPT,16,2g,4,false,10.556,2026-03-14 13:51:02
join,txn_5m.csv,ML+AQE,16,2g,4,true,11.112,2026-03-14 13:51:29
aggregation,txn_5m.csv,Default,200,1g,2,false,23.046,2026-03-14 13:51:58
aggregation,txn_5m.csv,AQE_ON,200,1g,2,true,21.087,2026-03-14 13:52:25
aggregation,txn_5m.csv,ML_OPT,16,2g,4,false,24.606,2026-03-14 13:52:56
aggregation,txn_5m.csv,ML+AQE,16,2g,4,true,100.853,2026-03-14 13:54:44
filter,txn_5m.csv,Default,200,1g,2,false,38.434,2026-03-14 13:55:29
filter,txn_5m.csv,AQE_ON,200,1g,2,true,64.734,2026-03-14 13:56:40
filter,txn_5m.csv,ML_OPT,32,3g,2,false,54.392,2026-03-14 13:57:41
filter,txn_5m.csv,ML+AQE,32,3g,2,true,31.616,2026-03-14 13:58:20
window,txn_5m.csv,Default,200,1g,2,false,75.015,2026-03-14 13:59:41
window,txn_5m.csv,AQE_ON,200,1g,2,true,83.321,2026-03-14 14:01:11
window,txn_5m.csv,ML_OPT,16,2g,4,false,16.967,2026-03-14 14:01:34
window,txn_5m.csv,ML+AQE,16,2g,4,true,18.974,2026-03-14 14:01:58
