dataset,dataset_mb,job_name,default_time,ml_time,ml_shuffle,ml_memory,ml_cores,improvement_pct,time_saved_sec,timestamp
txn_500k.csv,47.1,join,7.638,5.098,4,3g,4,33.25,2.54,2026-03-14 14:54:51
txn_500k.csv,47.1,aggregation,10.961,10.162,4,3g,4,7.29,0.8,2026-03-14 14:55:56
txn_500k.csv,47.1,filter,9.165,9.663,64,3g,2,-5.43,-0.5,2026-03-14 14:56:54
txn_500k.csv,47.1,window,12.732,10.525,4,3g,4,17.33,2.21,2026-03-14 14:58:04
txn_1m.csv,94.2,join,9.544,6.574,16,2g,4,31.12,2.97,2026-03-14 14:59:31
txn_1m.csv,94.2,aggregation,12.443,11.542,16,2g,4,7.24,0.9,2026-03-14 15:00:42
txn_1m.csv,94.2,filter,10.398,10.088,32,3g,2,2.98,0.31,2026-03-14 15:01:45
txn_1m.csv,94.2,window,13.45,11.881,4,3g,4,11.67,1.57,2026-03-14 15:02:58
txn_5m.csv,470.9,join,14.084,11.016,16,2g,4,21.78,3.07,2026-03-14 15:04:50
txn_5m.csv,470.9,aggregation,20.612,18.953,16,2g,4,8.05,1.66,2026-03-14 15:06:31
txn_5m.csv,470.9,filter,13.488,13.218,32,3g,2,2.0,0.27,2026-03-14 15:07:46
txn_5m.csv,470.9,window,21.25,19.386,16,2g,4,8.77,1.86,2026-03-14 15:09:29
txn_10m.csv,941.8,join,19.399,14.702,16,2g,4,24.21,4.7,2026-03-14 15:11:50
txn_10m.csv,941.8,aggregation,28.055,27.197,16,2g,4,3.06,0.86,2026-03-14 15:14:02
txn_10m.csv,941.8,filter,17.575,16.767,16,3g,4,4.6,0.81,2026-03-14 15:15:32
txn_10m.csv,941.8,window,28.111,27.217,16,2g,4,3.18,0.89,2026-03-14 15:17:45
transactions_25m.csv,2378.4,join,-1.0,35.364,64,3g,4,0.0,0.0,2026-03-14 15:21:31
transactions_25m.csv,2378.4,aggregation,53.688,51.669,64,3g,4,3.76,2.02,2026-03-14 15:25:23
transactions_25m.csv,2378.4,filter,31.132,31.027,32,3g,4,0.34,0.11,2026-03-14 15:27:49
transactions_25m.csv,2378.4,window,54.933,55.319,16,2g,4,-0.7,-0.39,2026-03-14 15:31:51
